#sepal_length,sepal_width,petal_length,petal_width,species
5.10,3.50,1.40,0.2,Iris-setosa
4.90,3.00,1.40,0.2,Iris-setosa
4.70,3.20,1.30,0.2,Iris-setosa
4.60,3.10,1.50,0.2,Iris-setosa
5.00,3.60,1.40,0.2,Iris-setosa
5.40,3.90,1.70,0.4,Iris-setosa
4.60,3.40,1.40,0.3,Iris-setosa
5.00,3.40,1.50,0.2,Iris-setosa
4.40,2.90,1.40,0.2,Iris-setosa
4.90,3.10,1.50,0.1,Iris-setosa
5.40,3.70,1.50,0.2,Iris-setosa
4.80,3.40,1.60,0.2,Iris-setosa
4.80,3.00,1.40,0.1,Iris-setosa
4.30,3.00,1.10,0.1,Iris-setosa
5.80,4.00,1.20,0.2,Iris-setosa
5.70,4.40,1.50,0.4,Iris-setosa
5.40,3.90,1.30,0.4,Iris-setosa
5.10,3.50,1.40,0.3,Iris-setosa
5.70,3.80,1.70,0.3,Iris-setosa
5.10,3.80,1.50,0.3,Iris-setosa
5.40,3.40,1.70,0.2,Iris-setosa
5.10,3.70,1.50,0.4,Iris-setosa
4.60,3.60,1.00,0.2,Iris-setosa
5.10,3.30,1.70,0.5,Iris-setosa
4.80,3.40,1.90,0.2,Iris-setosa
5.00,3.00,1.60,0.2,Iris-setosa
5.00,3.40,1.60,0.4,Iris-setosa
5.20,3.50,1.50,0.2,Iris-setosa
5.20,3.40,1.40,0.2,Iris-setosa
4.70,3.20,1.60,0.2,Iris-setosa
4.80,3.10,1.60,0.2,Iris-setosa
5.40,3.40,1.50,0.4,Iris-setosa
5.20,4.10,1.50,0.1,Iris-setosa
5.50,4.20,1.40,0.2,Iris-setosa
4.90,3.10,1.50,0.1,Iris-setosa
5.00,3.20,1.20,0.2,Iris-setosa
5.50,3.50,1.30,0.2,Iris-setosa
4.90,3.10,1.50,0.1,Iris-setosa
4.40,3.00,1.30,0.2,Iris-setosa
5.10,3.40,1.50,0.2,Iris-setosa
5.00,3.50,1.30,0.3,Iris-setosa
4.50,2.30,1.30,0.3,Iris-setosa
4.40,3.20,1.30,0.2,Iris-setosa
5.00,3.50,1.60,0.6,Iris-setosa
5.10,3.80,1.90,0.4,Iris-setosa
4.80,3.00,1.40,0.3,Iris-setosa
5.10,3.80,1.60,0.2,Iris-setosa
4.60,3.20,1.40,0.2,Iris-setosa
5.30,3.70,1.50,0.2,Iris-setosa
5.00,3.30,1.40,0.2,Iris-setosa
7.00,3.20,4.70,1.4,Iris-versicolor
6.40,3.20,4.50,1.5,Iris-versicolor
6.90,3.10,4.90,1.5,Iris-versicolor
5.50,2.30,4.00,1.3,Iris-versicolor
6.50,2.80,4.60,1.5,Iris-versicolor
5.70,2.80,4.50,1.3,Iris-versicolor
6.30,3.30,4.70,1.6,Iris-versicolor
4.90,2.40,3.30,1,Iris-versicolor
6.60,2.90,4.60,1.3,Iris-versicolor
5.20,2.70,3.90,1.4,Iris-versicolor
5.00,2.00,3.50,1,Iris-versicolor
5.90,3.00,4.20,1.5,Iris-versicolor
6.00,2.20,4.00,1,Iris-versicolor
6.10,2.90,4.70,1.4,Iris-versicolor
5.60,2.90,3.60,1.3,Iris-versicolor
6.70,3.10,4.40,1.4,Iris-versicolor
5.60,3.00,4.50,1.5,Iris-versicolor
5.80,2.70,4.10,1,Iris-versicolor
6.20,2.20,4.50,1.5,Iris-versicolor
5.60,2.50,3.90,1.1,Iris-versicolor
5.90,3.20,4.80,1.8,Iris-versicolor
6.10,2.80,4.00,1.3,Iris-versicolor
6.30,2.50,4.90,1.5,Iris-versicolor
6.10,2.80,4.70,1.2,Iris-versicolor
6.40,2.90,4.30,1.3,Iris-versicolor
6.60,3.00,4.40,1.4,Iris-versicolor
6.80,2.80,4.80,1.4,Iris-versicolor
6.70,3.00,5.00,1.7,Iris-versicolor
6.00,2.90,4.50,1.5,Iris-versicolor
5.70,2.60,3.50,1,Iris-versicolor
5.50,2.40,3.80,1.1,Iris-versicolor
5.50,2.40,3.70,1,Iris-versicolor
5.80,2.70,3.90,1.2,Iris-versicolor
6.00,2.70,5.10,1.6,Iris-versicolor
5.40,3.00,4.50,1.5,Iris-versicolor
6.00,3.40,4.50,1.6,Iris-versicolor
6.70,3.10,4.70,1.5,Iris-versicolor
6.30,2.30,4.40,1.3,Iris-versicolor
5.60,3.00,4.10,1.3,Iris-versicolor
5.50,2.50,4.00,1.3,Iris-versicolor
5.50,2.60,4.40,1.2,Iris-versicolor
6.10,3.00,4.60,1.4,Iris-versicolor
5.80,2.60,4.00,1.2,Iris-versicolor
5.00,2.30,3.30,1,Iris-versicolor
5.60,2.70,4.20,1.3,Iris-versicolor
5.70,3.00,4.20,1.2,Iris-versicolor
5.70,2.90,4.20,1.3,Iris-versicolor
6.20,2.90,4.30,1.3,Iris-versicolor
5.10,2.50,3.00,1.1,Iris-versicolor
5.70,2.80,4.10,1.3,Iris-versicolor
6.30,3.30,6.00,2.5,Iris-virginica
5.80,2.70,5.10,1.9,Iris-virginica
7.10,3.00,5.90,2.1,Iris-virginica
6.30,2.90,5.60,1.8,Iris-virginica
6.50,3.00,5.80,2.2,Iris-virginica
7.60,3.00,6.60,2.1,Iris-virginica
4.90,2.50,4.50,1.7,Iris-virginica
7.30,2.90,6.30,1.8,Iris-virginica
6.70,2.50,5.80,1.8,Iris-virginica
7.20,3.60,6.10,2.5,Iris-virginica
6.50,3.20,5.10,2,Iris-virginica
6.40,2.70,5.30,1.9,Iris-virginica
6.80,3.00,5.50,2.1,Iris-virginica
5.70,2.50,5.00,2,Iris-virginica
5.80,2.80,5.10,2.4,Iris-virginica
6.40,3.20,5.30,2.3,Iris-virginica
6.50,3.00,5.50,1.8,Iris-virginica
7.70,3.80,6.70,2.2,Iris-virginica
7.70,2.60,6.90,2.3,Iris-virginica
6.00,2.20,5.00,1.5,Iris-virginica
6.90,3.20,5.70,2.3,Iris-virginica
5.60,2.80,4.90,2,Iris-virginica
7.70,2.80,6.70,2,Iris-virginica
6.30,2.70,4.90,1.8,Iris-virginica
6.70,3.30,5.70,2.1,Iris-virginica
7.20,3.20,6.00,1.8,Iris-virginica
6.20,2.80,4.80,1.8,Iris-virginica
6.10,3.00,4.90,1.8,Iris-virginica
6.40,2.80,5.60,2.1,Iris-virginica
7.20,3.00,5.80,1.6,Iris-virginica
7.40,2.80,6.10,1.9,Iris-virginica
7.90,3.80,6.40,2,Iris-virginica
6.40,2.80,5.60,2.2,Iris-virginica
6.30,2.80,5.10,1.5,Iris-virginica
6.10,2.60,5.60,1.4,Iris-virginica
7.70,3.00,6.10,2.3,Iris-virginica
6.30,3.40,5.60,2.4,Iris-virginica
6.40,3.10,5.50,1.8,Iris-virginica
6.00,3.00,4.80,1.8,Iris-virginica
6.90,3.10,5.40,2.1,Iris-virginica
6.70,3.10,5.60,2.4,Iris-virginica
6.90,3.10,5.10,2.3,Iris-virginica
5.80,2.70,5.10,1.9,Iris-virginica
6.80,3.20,5.90,2.3,Iris-virginica
6.70,3.30,5.70,2.5,Iris-virginica
6.70,3.00,5.20,2.3,Iris-virginica
6.30,2.50,5.00,1.9,Iris-virginica
6.50,3.00,5.20,2,Iris-virginica
6.20,3.40,5.40,2.3,Iris-virginica
5.90,3.00,5.10,1.8,Iris-virginica
